Player	       Mat	Inns	NO	Runs	HS	Ave	BF	SR	100	50	0	4s	6s
AB de Villiers	7	6	1	417	162*	83.40	289	144.29	1	2	0	35	20
DA Miller	7	6	2	275	138*	68.75	215	127.90	1	0	1	15	11
F du Plessis	6	6	1	298	109	59.60	342	87.13	1	2	0	21	3
RR Rossouw	5	4	1	171	61*	57.00	127	134.64	0	2	0	21	4
JP Duminy	5	4	1	156	115*	52.00	156	100.00	1	0	0	12	3
HM Amla	7	7	0	323	159	46.14	336	96.13	1	1	0	33	5
Q de Kock	7	7	1	131	78*	21.83	158	82.91	0	1	1	19	0
KJ Abbott	4	1	0	12	12	12.00	19	63.15	0	0	0	2	0
VD Philander	3	2	1	10	10*	10.00	8	125.00	0	0	1	1	0
DW Steyn	7	2	0	17	16	8.50	24	70.83	0	0	0	3	0
M Morkel	7	2	1	8	6*	8.00	13	61.53	0	0	0	1	0
Imran Tahir	7	2	0	8	8	4.00	16	50.00	0	0	1	1	0
F Behardien	4	2	2	74	64*	-	36	205.55	0	1	0	5	4
WD Parnell	1	1	1	17	17*	-	28	60.71	0	0	0	1	0
