Player	Mat	Inns	NO	Runs	HS	Ave	BF	SR	100	50	0	4s	6s
Samiullah Shenwari	-	6	0	254	96	42.33	444	57.20	0	2	0	22	6
Shafiqullah	1	1	0	30	30	30.00	64	46.87	0	0	0	1	0
Najibullah Zadran	6	6	1	123	56	24.60	156	78.84	0	1	0	13	4
Mirwais Ashraf	2	2	0	38	28	19.00	47	80.85	0	0	0	1	3
Nawroz Mangal	6	6	0	108	33	18.00	209	51.67	0	0	0	7	2
Nasir Jamal	1	1	0	17	17	17.00	52	32.69	0	0	0	2	0
Javed Ahmadi	6	6	0	97	51	16.16	122	79.50	0	1	0	13	0
Mohammad Nabi	6	6	0	90	44	15.00	115	78.26	0	0	0	8	2
Asghar Stanikzai	5	5	0	72	54	14.40	95	75.78	0	1	0	8	1
Aftab Alam	1	1	0	14	14	14.00	12	116.66	0	0	0	2	1
Hamid Hassan	6	6	2	38	16	9.50	86	44.18	0	0	2	5	0
Afsar Zazai	6	6	0	36	19	6.00	99	36.36	0	0	2	1	0
Usman Ghani	2	2	0	12	12	6.00	22	54.54	0	0	1	0	0
Dawlat Zadran	5	4	0	14	9	3.50	39	35.89	0	0	1	2	0
Gulbadin Naib	1	1	0	0	0	0.00	1	0.00	0	0	1	0	0
Shapoor Zadran	6	5	5	17	12*	-	21	80.95	0	0	0	2	0
